the_geom,BORO,BLOCK,LOT,BBL,TYPE,Shape_STAr,Shape_STLe
"MULTIPOLYGON (((-73.98685241158074 40.59773579127616, -73.98680979037877 40.59771018633897, -73.98684027287251 40.59768070492648, -73.98688289406735 40.59770630985241, -73.98685241158074 40.59773579127616)))",3,27000,69,3270000069,1,206.098052161,57.4921683694
"MULTIPOLYGON (((-73.98370524821034 40.588439016577226, -73.98366869396833 40.58844214610916, -73.98366384358003 40.58840922769131, -73.98370039780426 40.58840609816091, -73.98370524821034 40.588439016577226)))",3,27000,70,3270000070,1,123.298042891,44.5700156003
"MULTIPOLYGON (((-73.97821750219862 40.59248263493235, -73.97818187667957 40.59246309042756, -73.97820693268586 40.592436550467006, -73.97824255819839 40.592456094063536, -73.97821750219862 40.59248263493235)))",3,27000,79,3270000079,1,145.219588367,48.2060179852
"MULTIPOLYGON (((-73.87330553536903 40.68963549325549, -73.87328094954013 40.689607488109466, -73.87333193076599 40.68958155629627, -73.87335651660672 40.6896095614315, -73.87330553536903 40.68963549325549)))",3,27000,86,3270000086,1,208.671452105,58.5520619066
"MULTIPOLYGON (((-73.87391569862965 40.68317999536772, -73.87389309459094 40.68313351033081, -73.87395553391033 40.683115915143006, -73.8739781379849 40.68316240106825, -73.87391569862965 40.68317999536772)))",3,27000,87,3270000087,1,333.47878039,73.0501369394
"MULTIPOLYGON (((-73.87962098239467 40.68155084144998, -73.8796003892804 40.681515557536706, -73.87965660731896 40.6814965425386, -73.87967720045705 40.6815318264419, -73.87962098239467 40.68155084144998)))",3,27000,88,3270000088,1,240.009628453,62.2579002804
"MULTIPOLYGON (((-73.88517844502071 40.67979596672473, -73.88515346902885 40.679760202153375, -73.88520727335784 40.67973842465576, -73.88523224937047 40.679774189215536, -73.88517844502071 40.67979596672473)))",3,27000,89,3270000089,1,249.417064463,63.317188473
"MULTIPOLYGON (((-73.89164613171377 40.678055181194395, -73.89163180676961 40.678011327919606, -73.89169412309337 40.677999529511006, -73.89170844807593 40.6780433827781, -73.89164613171377 40.678055181194395)))",3,27000,90,3270000090,1,293.239155939,68.5499155188
"MULTIPOLYGON (((-73.89851185314797 40.67704908996526, -73.89849784677897 40.67699904227975, -73.8985635834431 40.67698837871826, -73.89857758986061 40.67703842549527, -73.89851185314797 40.67704908996526)))",3,27000,91,3270000091,1,347.562906479,74.5721563599
"MULTIPOLYGON (((-73.91662709231832 40.68644648838606, -73.91657593709255 40.6864141462713, -73.91663189210692 40.68636286202523, -73.91668304731942 40.68639520501587, -73.91662709231832 40.68644648838606)))",3,27000,94,3270000094,1,447.935929633,85.4614985292
"MULTIPOLYGON (((-73.92220195472291 40.689589494405794, -73.92213967296904 40.68955692303015, -73.92217480594734 40.68951799687882, -73.922237087682 40.68955056823565, -73.92220195472291 40.689589494405794)))",3,27000,95,3270000095,1,360.573797523,76.3244207146
"MULTIPOLYGON (((-73.93562204929343 40.697223948761994, -73.93558389675847 40.697203239037115, -73.9356174078325 40.69716747861931, -73.93565556035648 40.697188189233714, -73.93562204929343 40.697223948761994)))",3,27000,97,3270000097,1,207.946926183,57.9943958666
"MULTIPOLYGON (((-73.94140326868302 40.70045892688721, -73.94135007048894 40.70043112439215, -73.94139206381871 40.700384583896955, -73.94144526199317 40.70041238637275, -73.94140326868302 40.70045892688721)))",3,27000,98,3270000098,1,368.058867824,76.9257572145
"MULTIPOLYGON (((-73.9473635658125 40.70387698880659, -73.9473117329195 40.7038488475116, -73.94735705069189 40.703800503558675, -73.94740888356644 40.70382864483347, -73.9473635658125 40.70387698880659)))",3,27000,99,3270000099,1,381.951879441,78.5789543379
"MULTIPOLYGON (((-73.95349814383704 40.706925810087654, -73.95344555537592 40.70691006320027, -73.9534713574274 40.7068601609867, -73.95352394585589 40.70687590696191, -73.95349814383704 40.706925810087654)))",3,27000,100,3270000100,1,306.124206079,70.4122064498
"MULTIPOLYGON (((-73.95784283801765 40.708433526268045, -73.95777146774341 40.70840776800044, -73.95780188985404 40.70835895523977, -73.95787326008784 40.70838471348873, -73.95784283801765 40.708433526268045)))",3,27000,101,3270000101,1,431.045957425,83.164875729
"MULTIPOLYGON (((-73.91215449853142 40.699480180823976, -73.91214611257702 40.69942942513507, -73.91220784118079 40.69942351714656, -73.9122162271803 40.69947427373156, -73.91215449853142 40.699480180823976)))",3,27000,112,3270000112,1,321.51888867,71.7773761808
"MULTIPOLYGON (((-73.91971129310357 40.69868889081198, -73.9196840945329 40.69865885054577, -73.91972865452621 40.69863547911017, -73.91975585429064 40.69866551936671, -73.91971129310357 40.69868889081198)))",3,27000,113,3270000113,1,199.450560568,56.5947407088
"MULTIPOLYGON (((-73.92721602217051 40.69790476575454, -73.92720949797008 40.69785830057936, -73.9272823184608 40.697852378013586, -73.92728884152824 40.69789884318394, -73.92721602217051 40.69790476575454)))",3,27000,114,3270000114,1,345.729933874,74.6643775549
"MULTIPOLYGON (((-73.95666793873106 40.717200078470256, -73.95663272319229 40.717179813637046, -73.95666672553008 40.71714560705382, -73.95670194106107 40.71716587187667, -73.95666793873106 40.717200078470256)))",3,27000,120,3270000120,1,191.251284365,55.7304208576
"MULTIPOLYGON (((-73.9502685158352 40.71408247614593, -73.95022076414153 40.714082455507764, -73.95022078949805 40.714048503568335, -73.9502685411674 40.7140485242065, -73.9502685158352 40.71408247614593)))",3,27000,121,3270000121,1,163.748383699,51.215120703
"MULTIPOLYGON (((-73.9439738513577 40.714592092412076, -73.94391118989635 40.714600475370005, -73.943900298983 40.714553339141794, -73.94396296040064 40.714544957090254, -73.9439738513577 40.714592092412076)))",3,27000,122,3270000122,1,307.533046251,70.1476331532
"MULTIPOLYGON (((-73.9405219688395 40.71159337990556, -73.94046763424797 40.7116080643672, -73.94045075543994 40.71157190012308, -73.94050508882228 40.71155721566872, -73.9405219688395 40.71159337990556)))",3,27000,123,3270000123,1,223.503462251,59.9341558258
"MULTIPOLYGON (((-73.93980602180127 40.707298833688476, -73.93974066022994 40.707304737463154, -73.9397324857145 40.707252334223284, -73.93979784723601 40.707246429552676, -73.93980602180127 40.707298833688476)))",3,27000,124,3270000124,1,350.855731175,74.9500769027
"MULTIPOLYGON (((-73.93311755970326 40.706179354845574, -73.93305023603932 40.706188250584475, -73.933041092491 40.70614817700098, -73.93310841611483 40.70613928216789, -73.93311755970326 40.706179354845574)))",3,27000,125,3270000125,1,280.734027153,67.526776328
"MULTIPOLYGON (((-73.9224878199637 40.7063682626634, -73.92243975504488 40.70634318795737, -73.92247032086853 40.70630925655595, -73.9225183857755 40.70633433034884, -73.9224878199637 40.7063682626634)))",3,27000,126,3270000126,1,242.161098772,62.2899665975
"MULTIPOLYGON (((-73.91824496049222 40.70372181169877, -73.91819919915359 40.70369402630588, -73.91823289350849 40.70366188485655, -73.91827865602241 40.70368967023705, -73.91824496049222 40.70372181169877)))",3,27000,127,3270000127,1,243.154041877,62.4237840986
"MULTIPOLYGON (((-73.91099379929491 40.69950530579562, -73.91091438921744 40.6995125493172, -73.9109062034412 40.69946056449262, -73.91098561345765 40.69945332097664, -73.91099379929491 40.69950530579562)))",3,27000,128,3270000128,1,423.022446924,82.503553228
"MULTIPOLYGON (((-73.90525172165142 40.682850387398595, -73.9052388215085 40.682843229391636, -73.90525642453426 40.682824844573496, -73.90526932467552 40.68283200257845, -73.90525172165142 40.682850387398595)))",3,27000,131,3270000131,1,36.6973316554,25.4321035404
"MULTIPOLYGON (((-73.90192063563264 40.66914719101866, -73.90191443815984 40.66914818620827, -73.90191250647182 40.66914121186527, -73.9019187027613 40.66914021667479, -73.90192063563264 40.66914719101866)))",3,27000,134,3270000134,1,4.56242910653,8.70753451294
"MULTIPOLYGON (((-73.9594046547609 40.66995544823208, -73.95937039396813 40.66994900285459, -73.95937743587614 40.66992730021544, -73.95941169665838 40.66993374559085, -73.9594046547609 40.66995544823208)))",3,27000,142,3270000142,1,79.7353826808,35.8691285778
"MULTIPOLYGON (((-73.98495799172267 40.68856896591103, -73.98492662584917 40.68855602683236, -73.98494290691679 40.68853315592329, -73.98497427396573 40.688546094997726, -73.98495799172267 40.68856896591103)))",3,27000,175,3270000175,1,93.7690208154,38.7427271282
"MULTIPOLYGON (((-73.97395057124271 40.68612668814853, -73.97392883034449 40.68611828413359, -73.97394150501711 40.68609928616535, -73.97396324472778 40.686107690177614, -73.97395057124271 40.68612668814853)))",3,27000,176,3270000176,1,52.4951014763,29.0504115529
"MULTIPOLYGON (((-73.96586606877834 40.68328474406459, -73.96579921114386 40.68327814055424, -73.96580694230781 40.68323278576019, -73.96587379871467 40.683239389265715, -73.96586606877834 40.68328474406459)))",3,27000,177,3270000177,1,311.561188303,70.7216704593
"MULTIPOLYGON (((-73.95687060000436 40.68140036167498, -73.95680957678641 40.681390093634505, -73.95682080850352 40.681351409054, -73.95688183168781 40.681361677088546, -73.95687060000436 40.68140036167498)))",3,27000,178,3270000178,1,250.19734804,63.5357426494
"MULTIPOLYGON (((-73.95044787216658 40.68045723096368, -73.95039655312237 40.68045593462369, -73.95039813801449 40.68041956442933, -73.95044945703141 40.680420859868065, -73.95044787216658 40.68045723096368)))",3,27000,179,3270000179,1,188.819948884,54.999902102
"MULTIPOLYGON (((-73.94087274086107 40.67993404507144, -73.94083925331991 40.6799335514861, -73.94083993964531 40.67990658412957, -73.94087342717293 40.6799070777147, -73.94087274086107 40.67993404507144)))",3,27000,180,3270000180,1,91.291131451,38.2336356499
"MULTIPOLYGON (((-73.91196162571755 40.67835547638632, -73.91191562064274 40.67835544117614, -73.91191566281209 40.67832351435036, -73.91196166786489 40.67832354956052, -73.91196162571755 40.67835547638632)))",3,27000,183,3270000183,1,148.428120467,48.7846793532
"MULTIPOLYGON (((-73.89658094931691 40.67456261617837, -73.89650427193176 40.6745716505407, -73.896492152407 40.67451202460693, -73.89656882972523 40.67450299025259, -73.89658094931691 40.67456261617837)))",3,27000,185,3270000185,1,473.107022189,87.0089486868
"MULTIPOLYGON (((-73.890391278939 40.67274231336288, -73.89027296132662 40.6727598317797, -73.89025452301203 40.67268764054978, -73.89037284050264 40.67267012125127, -73.890391278939 40.67274231336288)))",3,27000,186,3270000186,1,895.876063889,120.459303612
"MULTIPOLYGON (((-73.88080491648117 40.67415119977519, -73.88070522690775 40.67415952888286, -73.88069734816018 40.674104865706816, -73.88079703765294 40.67409653660588, -73.88080491648117 40.67415119977519)))",3,27000,187,3270000187,1,557.345732922,95.7072760946
"MULTIPOLYGON (((-73.87215513359156 40.67539804837031, -73.87206374164965 40.67540461780324, -73.87205698368322 40.67535012818153, -73.87214837673389 40.675343558755266, -73.87215513359156 40.67539804837031)))",3,27000,188,3270000188,1,507.752507579,90.8078026268
"MULTIPOLYGON (((-73.98689064946609 40.69977432763976, -73.98676329734579 40.69977118648601, -73.98676669480552 40.699691397900196, -73.98689404795677 40.69969453905034, -73.98689064946609 40.69977432763976)))",3,27000,235,3270000235,1,1027.59233252,128.831489338
"MULTIPOLYGON (((-73.9803125031923 40.666310411172454, -73.98023389178532 40.66627166020196, -73.98027185048842 40.66622701283827, -73.98035046186456 40.66626576468354, -73.9803125031923 40.666310411172454)))",3,27000,240,3270000240,1,503.411997138,90.7135463691
"MULTIPOLYGON (((-73.97576504026355 40.650761492332805, -73.97574157902116 40.65076148738671, -73.97574158887542 40.65073438541475, -73.97576505010831 40.65073439036082, -73.97576504026355 40.650761492332805)))",3,27000,242,3270000242,1,64.2812699841,32.7683071792
"MULTIPOLYGON (((-73.97976685000684 40.64441463133591, -73.97972086176186 40.64441672504485, -73.9797179858938 40.64438007525159, -73.97976397411361 40.64437798154383, -73.97976685000684 40.64441463133591)))",3,27000,243,3270000243,1,171.017522751,52.3228328138
"MULTIPOLYGON (((-73.97825120922359 40.63620425348337, -73.97812922795745 40.636217096961296, -73.97811325611725 40.6361290591916, -73.97823523722555 40.636116215730524, -73.97825120922359 40.63620425348337)))",3,27000,244,3270000244,1,1106.63979645,133.113356715
"MULTIPOLYGON (((-73.97699420905985 40.62955175515691, -73.97685425814261 40.62956542757322, -73.97683943137729 40.62947732765742, -73.97697938211286 40.62946365525902, -73.97699420905985 40.62955175515691)))",3,27000,245,3270000245,1,1267.36911014,143.049395303
"MULTIPOLYGON (((-73.97612560150192 40.62504352104403, -73.9760114583288 40.62505660255175, -73.97599489361664 40.624972688639346, -73.97610903664923 40.62495960804845, -73.97612560150192 40.62504352104403)))",3,27000,246,3270000246,1,990.593924079,125.914946025
"MULTIPOLYGON (((-73.97402657111898 40.61434599255474, -73.97401597757379 40.61428125620696, -73.97408678513533 40.614274527288714, -73.97409737874777 40.61433926453052, -73.97402657111898 40.61434599255474)))",3,27000,248,3270000248,1,470.869256451,87.1581139901
"MULTIPOLYGON (((-73.97305449965573 40.60883415265769, -73.97293569357866 40.60884782527867, -73.97292086883593 40.60877300465745, -73.97303967478288 40.6087593320517, -73.97305449965573 40.60883415265769)))",3,27000,249,3270000249,1,919.7187388,121.859593184
"MULTIPOLYGON (((-73.97240897546126 40.60324519025639, -73.97230972560648 40.6032398046785, -73.9723161816408 40.60317067765995, -73.97241543139371 40.603176062331755, -73.97240897546126 40.60324519025639)))",3,27000,250,3270000250,1,697.614087018,105.756817504
"MULTIPOLYGON (((-73.97340674713197 40.595920939579976, -73.97333329412702 40.59591794453003, -73.97333756546621 40.59585707559148, -73.97341101840443 40.59586007063877, -73.97340674713197 40.595920939579976)))",3,27000,251,3270000251,1,453.662651326,85.2717554781
"MULTIPOLYGON (((-73.94816964550262 40.678406703873584, -73.94814035263151 40.67840669067444, -73.948140370566 40.67838362760117, -73.948169663427 40.6783836408003, -73.94816964550262 40.678406703873584)))",3,27001,64,3270010064,1,68.2705192917,33.0550520122
"MULTIPOLYGON (((-73.90279578055468 40.6758610478935, -73.90276599120278 40.675858354495205, -73.90276946080908 40.67583611649923, -73.90279924896711 40.67583881079615, -73.90279578055468 40.6758610478935)))",3,27001,65,3270010065,1,67.8880803408,32.9592859881
"MULTIPOLYGON (((-73.97427042890398 40.58935286497184, -73.97423342487062 40.58935285667994, -73.97423343376987 40.58932979248085, -73.97427043779044 40.58932980077274, -73.97427042890398 40.58935286497184)))",3,27000,252,3270000252,1,86.3608233674,37.3608176708
"MULTIPOLYGON (((-73.9745575493925 40.58084005875063, -73.97452504897977 40.58083986153827, -73.9745253088313 40.580815067469985, -73.97455780923204 40.580815264682236, -73.9745575493925 40.58084005875063)))",3,27000,253,3270000253,1,81.5546253266,36.1230413477
"MULTIPOLYGON (((-73.95445942816693 40.731278769472766, -73.95441783253493 40.731280849398594, -73.95441542603398 40.731253003823774, -73.95445702164926 40.73125092299832, -73.95445942816693 40.731278769472766)))",3,27000,283,3270000283,1,117.461762097,43.4404532107
"MULTIPOLYGON (((-73.9512058791187 40.72447979138379, -73.95118297221202 40.72448907312911, -73.95117206089307 40.724473486989744, -73.95119496661229 40.72446420524608, -73.9512058791187 40.72447979138379)))",3,27000,284,3270000284,1,46.2816321474,27.2546351558
"MULTIPOLYGON (((-73.95142856041983 40.71278377950357, -73.9513992060999 40.712785645579935, -73.95139701118461 40.71276565781771, -73.95142636667924 40.71276379174238, -73.95142856041983 40.71278377950357)))",3,27000,285,3270000285,1,59.6756558081,30.9477115268
"MULTIPOLYGON (((-73.95024344040937 40.70536155837363, -73.95021712604793 40.70536137860018, -73.9502173433307 40.70534296233122, -73.95024365768487 40.70534314210465, -73.95024344040937 40.70536155837363)))",3,27000,286,3270000286,1,48.9563831992,28.0120893204
"MULTIPOLYGON (((-73.95023130866674 40.70028861117398, -73.9502046344451 40.700289743287385, -73.95020339406338 40.70027280681783, -73.95023006709506 40.70027167470422, -73.95023130866674 40.70028861117398)))",3,27000,287,3270000287,1,45.7789821383,27.1751860259
"MULTIPOLYGON (((-73.94907128623768 40.69463022942958, -73.94903690209289 40.69463366767558, -73.9490331728489 40.69461205731766, -73.94906755698211 40.69460861997326, -73.94907128623768 40.69463022942958)))",3,27000,288,3270000288,1,76.3641771068,35.1149912699
"MULTIPOLYGON (((-73.95354543281954 40.689647598582866, -73.9534894175111 40.68965249546197, -73.9534830126061 40.689610047174256, -73.9535390278794 40.68960515029825, -73.95354543281954 40.689647598582866)))",3,27000,289,3270000289,1,243.410540959,62.4066348406
"MULTIPOLYGON (((-73.96001790281277 40.688900972382356, -73.95995008641738 40.68890650767008, -73.95994280875703 40.68885484268054, -73.96001062510047 40.688849307397106, -73.96001790281277 40.688900972382356)))",3,27000,290,3270000290,1,358.081568429,75.6921798976
"MULTIPOLYGON (((-73.96683020888263 40.688110534448576, -73.96676776036225 40.6881176647076, -73.96675833907894 40.68806985012237, -73.96682078755515 40.68806272076894, -73.96683020888263 40.688110534448576)))",3,27000,291,3270000291,1,308.483116758,70.2550480477
"MULTIPOLYGON (((-73.97540665939425 40.68713301106567, -73.97534045816545 40.687139430167434, -73.97533167260454 40.68708692654124, -73.97539787378211 40.687080507444485, -73.97540665939425 40.68713301106567)))",3,27000,292,3270000292,1,356.896948504,75.5827577047
"MULTIPOLYGON (((-73.99309512937637 40.69749429191012, -73.99304488586156 40.69748392488791, -73.99305628669214 40.697451920465795, -73.9931065290014 40.69746228748299, -73.99309512937637 40.69749429191012)))",3,27000,334,3270000334,1,174.388297491,53.0318148843
"MULTIPOLYGON (((-73.98055977180225 40.68826431073779, -73.98047837877033 40.688303610674446, -73.9804162701968 40.68822907633044, -73.98049766317435 40.688189776437355, -73.98055977180225 40.68826431073779)))",3,27000,337,3270000337,1,859.585389182,117.775834376
"MULTIPOLYGON (((-73.9777274786594 40.684390413471235, -73.97764170537488 40.68441714119918, -73.9776007361705 40.684340949756724, -73.9776865093738 40.684314221158566, -73.9777274786594 40.684390413471235)))",3,27000,338,3270000338,1,771.000429208,111.398439371
"MULTIPOLYGON (((-73.97515968580942 40.68085140144721, -73.9750517057514 40.68086388712942, -73.97503573493773 40.68078383424895, -73.97514371368585 40.68077134948185, -73.97515968580942 40.68085140144721)))",3,27000,339,3270000339,1,893.631819586,119.585212972
"MULTIPOLYGON (((-73.97110527071268 40.675232446689236, -73.9710434417766 40.675282466454775, -73.97097898980755 40.67523628531878, -73.97104081756639 40.675186265587286, -73.97110527071268 40.675232446689236)))",3,27000,340,3270000340,1,614.357369165,99.1494739081
"MULTIPOLYGON (((-73.96437337208391 40.672064042695276, -73.96429381499512 40.672040036409186, -73.96432256336855 40.671984804118125, -73.96440212040186 40.67200881038449, -73.96437337208391 40.672064042695276)))",3,27000,341,3270000341,1,513.834115217,90.768261493
"MULTIPOLYGON (((-73.95814616639218 40.670719238658116, -73.95807182203676 40.67070417388006, -73.95808988235711 40.67065250528155, -73.95816422665908 40.670667570048025, -73.95814616639218 40.670719238658116)))",3,27000,342,3270000342,1,415.717797904,81.6415710715
"MULTIPOLYGON (((-73.92262227747139 40.66474794237256, -73.92258076991816 40.66471003512603, -73.92263400089085 40.664676237638545, -73.92267550845335 40.664714144866046, -73.92262227747139 40.66474794237256)))",3,27000,346,3270000346,1,345.745248417,74.4186492113
"MULTIPOLYGON (((-73.91635464232287 40.661469358559685, -73.91628582776886 40.66147732850206, -73.91627584957976 40.6614273668744, -73.91634466526487 40.66141939783931, -73.91635464232287 40.661469358559685)))",3,27000,347,3270000347,1,355.557645073,75.4464258894
"MULTIPOLYGON (((-73.90897908528251 40.66256610758144, -73.9089150648478 40.662575162931425, -73.90890448582594 40.66253179107271, -73.90896850622045 40.6625227357286, -73.90897908528251 40.66256610758144)))",3,27000,348,3270000348,1,290.344462384,68.2745078209
"MULTIPOLYGON (((-73.90247522305935 40.66352310203247, -73.90241061946257 40.66353264495065, -73.90240066382246 40.66349356128462, -73.90246526856404 40.663484019273525, -73.90247522305935 40.66352310203247)))",3,27000,349,3270000349,1,264.813780728,65.5237121683
"MULTIPOLYGON (((-73.89492860282479 40.66464030317411, -73.89483953605725 40.66465453640045, -73.89482416164694 40.664598749746595, -73.89491322834333 40.664584516532074, -73.89492860282479 40.66464030317411)))",3,27000,350,3270000350,1,524.331946535,92.0304844174
"MULTIPOLYGON (((-73.88943438373123 40.66546836301244, -73.88935489066975 40.665478769495955, -73.88934149673902 40.665419447686666, -73.88942098973342 40.66540904031181, -73.88943438373123 40.66546836301244)))",3,27000,351,3270000351,1,490.721927385,88.6134871446
"MULTIPOLYGON (((-73.88406057755046 40.66628248239748, -73.88397296807055 40.66629462128319, -73.88395929951402 40.66623742469119, -73.88404690892128 40.666225285815784, -73.88406057755046 40.66628248239748)))",3,27000,352,3270000352,1,523.239727315,91.7686732248
